folder,file_count
Synthliboramphus_antiquus,57
Prionailurus_bengalensis_euptilurus,56
Columba_rupestris,55
Butastur_indicus,55
Passer_cinnamomeus,55
Sternula_albifrons,55
Emberiza_aureola,55
Bubo_bubo,54
Tachybaptus_ruficollis_poggei,53
Soricidae,53
Yungipicus_canicapillus,52
Carnivora,51
Pyrrhula_pyrrhula,51
Histrionicus_histrionicus,51
Accipitrinae,51
Leucosticte_arctoa,50
Egretta_garzetta_garzetta,50
Emberiza,50
Scolopacidae,50
Haliaeetus_pelagicus,49
Pericrocotus_divaricatus,48
Ficedula_mugimaki,48
Anas_platyrhynchos_domesticus,48
Martes_flavigula,48
Rattus_norvegicus,47
Phalacrocorax_carbo_sinensis,47
Carpodacus_sibiricus,47
Ardeinae,46
Lanius_sphenocercus,46
Gallus_gallus_domesticus,45
Sterna_hirundo,45
Phylloscopus_fuscatus,44
Anas_platyrhynchos_zonorhyncha,44
Turdus_chrysolaus,44
Monticola_solitarius_philippensis,42
Emberiza_fucata,42
Cisticola_juncidis,42
Phylloscopidae,42
Motacilla,42
Motacilla_alba_ocularis,41
Dendrocopos,41
Ardeidae,40
Botaurus_sinensis,40
Phalaropus_lobatus,39
Rodentia,39
Podiceps_grisegena,39
Zosterops_erythropleurus,39
Oryctolagus_cuniculus_domesticus,38
Muscicapidae,38
Turdus_cardis,38
Calidris_falcinellus,38
Anthus,38
Larvivora_sibilans,36
Accipitridae,35
Nyctereutes_procyonoides_koreensis,35
Numenius,35
Equus_caballus,35
Pavo_cristatus,35
Riparia_riparia,35
Yungipicus_kizuki_nippon,34
Mergus_squamatus,34
Falco_amurensis,34
Gallicrex_cinerea,34
Tachyspiza_gularis,33
Prunella_montanella,33
Thinornis,33
Acrocephalus_bistrigiceps,33
Larvivora_cyane,32
Urosphena_squameiceps,32
Larus_fuscus,32
Dicrurus_macrocercus,32
Turdus,32
Podiceps_cristatus_cristatus,31
Rissa_tridactyla,31
Certhia_familiaris,31
Hirundinidae,31
Loxia_curvirostra,30
Columba_janthina,30
Bos_taurus,30
Sturnia_sinensis,29
Chlidonias_leucopterus,29
Emberiza_schoeniclus,29
Phalacrocoracidae,29
Ninox_japonica,29
Tringa,28
Clanga_clanga,28
Columba_janthina_janthina,28
Muscicapa_sibirica,28
Columbidae,28
Phylloscopus_proregulus,28
Poecile_palustris_hellmayri,28
Sciurus_vulgaris_mantchuricus,28
Helopsaltes_pleskei,28
Calcarius_lapponicus,27
Sittiparus_varius_varius,27
Anser_anser_domesticus,27
Gavia_pacifica,27
Anthus_spinoletta,27
Rattus,27
Calliope_calliope,26
Neophocaena_sunameri,26
Phylloscopus_examinandus,26
Cygnus_olor,26
Suthora_webbiana_fulvicauda,26
Anarhynchus,26
Zosterops_japonicus_japonicus,26
Carpodacus_roseus,25
Cervus_nippon,25
Erinaceus_amurensis,25
Rostratula_benghalensis,25
Gallinago,25
Corvidae,25
Calidris_ferruginea,25
Emberiza_personata,25
Podiceps_auritus,25
Dendronanthus_indicus,24
Prunella_collaris,24
Larinae,24
Pitta_nympha,24
Larus_fuscus_taimyrensis,24
Micromys_minutus,24
Buteo_lagopus,24
Charadriiformes,24
Ficedula_albicilla,23
Hydrophasianus_chirurgus,23
Lutra_lutra_lutra,23
Mergus_merganser_merganser,23
Podiceps_nigricollis_nigricollis,23
Naemorhedus_caudatus,23
Agropsar_philippensis,23
Pericrocotus_tegimae,23
Charadriidae,22
Anser_caerulescens,22
Sitta_europaea_amurensis,22
Anas,22
Grus_grus,22
Bombycilla_garrulus,22
Anser_serrirostris_serrirostris,22
Lanius,22
Rallus_indicus,21
Calidris_pugnax,21
Larus_canus_kamtschatschensis,21
Cuculus,21
Falco_tinnunculus_perpallidus,21
Gavia_stellata,21
Capra_hircus,21
Gallinago_stenura,21
Melanitta_americana,21
Calidris_temminckii,21
Rhinolophus_ferrumequinum,20
Egretta,20
Luscinia_svecica,20
Hirundapus_caudacutus,20
Craseomys_regulus,20
Horornis_canturians,20
Lanius_schach,20
Vespertilioninae,20
Falco_columbarius,19
Calidris,19
Cairina_moschata_domestica,19
Cerorhinca_monocerata,19
Galerida_cristata,19
Gallus_gallus,19
Synthliboramphus_wumizusume,19
Martes_flavigula_borealis,19
Mustela_sibirica_manchurica,19
Circus_spilonotus,19
Paridae,19
Oriolus_chinensis_diffusus,18
Picidae,18
Asio_otus,18
Caprimulgus_jotaka,18
Emberiza_variabilis,18
Garrulus_glandarius_bambergi,17
Anarhynchus_veredus,17
Apodemus_agrarius,17
Agropsar_sturninus,17
Crocidura,17
Tringa_guttifer,17
Phylloscopus_tenellipes,17
Capreolini,17
Anser_albifrons_albifrons,17
Oryctolagus_cuniculus,17
Phoca_largha,17
Gallinago_solitaria,17
Halcyon_pileata,17
Apodemus_agrarius_coreae,17
Recurvirostra_avosetta,17
Aythya,17
Anser_cygnoides,16
Myocastor_coypus,16
Chroicocephalus,16
Cuculidae,16
Muridae,16
Muroidea,16
Phylloscopus_schwarzi,16
Aythya_nyroca,16
Platalea,16
Emberiza_sulphurata,16
Anarhynchus_leschenaultii,16
Nipponia_nippon,15
Meles_leucurus_amurensis,15
Numenius_minutus,15
Picus_canus_jessoensis,15
Dendrocopos_leucotos_leucotos,15
Hypsugo_alaschanicus,15
Calidris_canutus,15
Phylloscopus_borealoides,15
Placentalia,15
Emberiza_yessoensis,15
